AUN,LEA Name,County
112011103,Bermudian Springs SD,Adams
112011603,Conewago Valley SD,Adams
112013054,Fairfield Area SD,Adams
112013753,Gettysburg Area SD,Adams
112015203,Littlestown Area SD,Adams
112018523,Upper Adams SD,Adams
103020603,Allegheny Valley SD,Allegheny
103020753,Avonworth SD,Allegheny
103021102,Baldwin-Whitehall SD,Allegheny
103021252,Bethel Park SD,Allegheny
103021453,Brentwood Borough SD,Allegheny
103021603,Carlynton SD,Allegheny
103021752,Chartiers Valley SD,Allegheny
103021903,Clairton City SD,Allegheny
103022103,Cornell SD,Allegheny
103022253,Deer Lakes SD,Allegheny
103022503,Duquesne City SD,Allegheny
103022803,East Allegheny SD,Allegheny
103023153,Elizabeth Forward SD,Allegheny
103023912,Fox Chapel Area SD,Allegheny
103024102,Gateway SD,Allegheny
103024603,Hampton Township SD,Allegheny
103024753,Highlands SD,Allegheny
103025002,Keystone Oaks SD,Allegheny
103026002,McKeesport Area SD,Allegheny
103026303,Montour SD,Allegheny
103026343,Moon Area SD,Allegheny
103026402,Mt Lebanon SD,Allegheny
103026852,North Allegheny SD,Allegheny
103026902,North Hills SD,Allegheny
103026873,Northgate SD,Allegheny
103027352,Penn Hills SD,Allegheny
103021003,Pine-Richland SD,Allegheny
102027451,Pittsburgh SD,Allegheny
103027503,Plum Borough SD,Allegheny
103027753,Quaker Valley SD,Allegheny
103028203,Riverview SD,Allegheny
103028302,Shaler Area SD,Allegheny
103028653,South Allegheny SD,Allegheny
103028703,South Fayette Township SD,Allegheny
103028753,South Park SD,Allegheny
103028833,Steel Valley SD,Allegheny
103028853,Sto-Rox SD,Allegheny
103029203,Upper St. Clair SD,Allegheny
103029403,West Allegheny SD,Allegheny
103029553,West Jefferson Hills SD,Allegheny
103029603,West Mifflin Area SD,Allegheny
103029803,Wilkinsburg Borough SD,Allegheny
103029902,Woodland Hills SD,Allegheny
128030603,Apollo-Ridge SD,Armstrong
128030852,Armstrong SD,Armstrong
128033053,Freeport Area SD,Armstrong
128034503,Leechburg Area SD,Armstrong
127040503,Aliquippa SD,Beaver
127040703,Ambridge Area SD,Beaver
127041203,Beaver Area SD,Beaver
127041503,Big Beaver Falls Area SD,Beaver
127041603,Blackhawk SD,Beaver
127042003,Central Valley SD,Beaver
127042853,Freedom Area SD,Beaver
127044103,Hopewell Area SD,Beaver
127045303,Midland Borough SD,Beaver
127045653,New Brighton Area SD,Beaver
127045853,Riverside Beaver County SD,Beaver
127046903,Rochester Area SD,Beaver
127047404,South Side Area SD,Beaver
127049303,Western Beaver County SD,Beaver
108051003,Bedford Area SD,Bedford
